Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.385562896728516,35.250687901647105,26.767987163902312,28.90878314480242,855215656
1,2007-10-08,30.7276611328125,33.48011239976731,30.53450581530477,33.48011239976731,126671715
2,2007-10-09,32.82017135620117,33.109902182328575,29.085850801739035,30.74375909726689,116725709
3,2007-10-10,33.125999450683594,33.80204096867718,32.83626861907928,33.67327001215155,67931378
4,2007-10-11,36.828128814697266,38.63090483962656,32.83627042359523,38.63090483962656,106320954
5,2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
6,2007-10-15,37.06957244873047,37.56855748378243,36.74764830987459,37.34320884003308,41814972
7,2007-10-16,40.85218811035156,41.496040865236544,36.86032897487316,37.11786658372609,138614496
8,2007-10-17,44.03923034667969,45.069384896307255,34.15615607250487,36.69935789450386,204876259
9,2007-10-18,42.49400329589844,48.11158235401636,40.6751324321906,44.7474727045501,146617799
10,2007-10-19,42.34914016723633,44.071435522901716,40.24053402224127,41.5282308315049,110266491
11,2007-10-22,41.785762786865234,43.08955374685492,40.401486429232264,41.4960319475759,72253405
12,2007-10-23,44.76356887817383,45.1659741058401,42.81592495644339,42.81592495644339,74594921
13,2007-10-24,44.07143783569336,46.19613855575419,43.57245267609197,45.71324786056263,63055170
14,2007-10-25,43.97483444213867,45.004993139461234,38.84014414408062,42.57446396390699,34522489
15,2007-10-26,45.294742584228516,46.019071988891504,43.540254057494366,44.74746973193268,62370025
16,2007-10-29,46.21221923828125,47.322859209879695,45.80981408427824,46.03516271707007,43657697
17,2007-10-30,47.24237823486328,48.51397590318908,45.45569672915499,46.839973080385114,79921711
18,2007-10-31,48.224239349365234,49.28659145109542,47.322853656722835,47.48381569943575,44655368
19,2007-11-01,47.14579772949219,49.78557725311005,46.759491406331854,49.41536538935732,50632492
20,2007-11-02,47.998897552490234,48.28863276357732,45.06938708623845,45.43960333009962,32001693
21,2007-11-05,48.98076248168945,50.05920905563524,47.67696729836697,47.96670247224413,38833135
22,2007-11-06,49.6246223449707,52.76338295905699,48.94858072404617,49.833872179301274,81880281
23,2007-11-07,48.90029525756836,51.25034002932942,47.80575391683548,50.542109451855744,33593141
